Topic,Stance,Text,Source,Annotator
Cannabis Legalization,Favour,. Marijuana legalization in New Jersey must be fair and equitable and must address past disproportionate harms to communities of color.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Favour,‘Clinical experience suggests that medical marijuana may be a successful alternative to opioids,https://twitter.com/ZebraOrphans/statuses/1141387036902993920,Rebecca
Cannabis Legalization,Favour,"“Comprehensive reform would have been an enormous economic driver for struggling communities across the state. But in a moment when they had a clear avenue for building up marginalized communities, they chose not to act.",https://www.wsj.com/articles/effort-to-legalize-marijuana-in-new-york-dead-for-now-11560951764,Rebecca
Cannabis Legalization,Favour,"“I hope that they take into consideration the thousands of lives that this (decision) affects, not just for autism and anxiety but for the multitudes of people who will seek and get relief from medical cannabis without the cocktail of pharmaceuticals,” said Carwile.",https://hightimes.com/news/ohio-medical-board-rejects-addition-depression-medical-marijuana-program/?utm_source=dlvr.it&utm_medium=twitter,Rebecca
Cannabis Legalization,Favour,"“I witnessed first hand the incompetence of both the Home Office and the Dept of Health in delivering medical cannabis with THC, not just CBD.”",https://twitter.com/RTUKnews/status/1141347401225113601,Rebecca
Cannabis Legalization,Favour,"“If he said there will be no prosecutions for banks who bank in the cannabis industry, that would be tremendously impactful,” Bax said. “It may not result in Wells Fargo or Bank of America enthusiastically banking cannabis companies, but it may result in smaller or midsize charter banks to be able to bank the industry without the fear of losing their charter or perhaps even criminal prosecution.”",https://starlitecbd.com/wlrn/patronis-seeks-banking-changes-for-medical-marijuana/,Rebecca
Cannabis Legalization,Favour,“It’s clear that you should not have to fail out of opioid treatment before trying cannabis treatment. It’s time to modernize these treatment recommendations so we can move past the opioid crisis.”,https://www.country94.ca/2019/06/19/older-canadians-are-using-and-curious-about-medical-cannabis/?sc_ref=twitter,Rebecca
Cannabis Legalization,Against,"“The science is emerging still on a standard of impairment,” she said. “I’m so sorry that all this has been legalized before the science is there.”",https://nypost.com/2019/06/19/millions-of-americans-drive-stoned-and-dont-care-about-getting-caught/,Rebecca
Cannabis Legalization,Against,"“Underage kids have unbelievable access to nuclear-strength weed,”",https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Against,"“We accept that [people] say they have benefited from using cannabis, but there’s no or very little research behind that,” said Dr. Granger Avery, president of the CMA.",https://www.leafly.com/news/canada/keep-canadas-medical-adult-use-systems-separate-researchers-say,Rebecca
